yarn run v1.22.10
$ cspell -c .cspell.json '/mnt/d/htdocs/drupal/**/*'

/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:18 - Unknown word (consectetur)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:30 - Unknown word (adipisicing)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:55 - Unknown word (eiusmod)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:63 - Unknown word (tempor)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:70 - Unknown word (incididunt)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:84 - Unknown word (labore)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:107 - Unknown word (aliqua)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:140 - Unknown word (quis)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:145 - Unknown word (nostrud)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:178 - Unknown word (ullamco)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:190 - Unknown word (laboris)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:206 - Unknown word (aliquip)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:220 - Unknown word (commodo)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:228 - Unknown word (consequat)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:239 - Unknown word (Duis)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:244 - Unknown word (aute)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:249 - Unknown word (irure)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:264 - Unknown word (reprehenderit)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:281 - Unknown word (voluptate)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:291 - Unknown word (velit)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:319 - Unknown word (fugiat)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:326 - Unknown word (nulla)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:332 - Unknown word (pariatur)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:342 - Unknown word (Excepteur)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:352 - Unknown word (sint)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:357 - Unknown word (occaecat)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:366 - Unknown word (cupidatat)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:380 - Unknown word (proident)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:390 - Unknown word (sunt)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:408 - Unknown word (officia)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:416 - Unknown word (deserunt)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:425 - Unknown word (mollit)
/mnt/d/htdocs/drupal/core/modules/color/tests/modules/color_test/themes/aa/color/preview.html:4:444 - Unknown word (laborum)
/mnt/d/htdocs/drupal/core/modules/migrate/src/Plugin/migrate/source/SourcePluginBase.php:268:19 - Unknown word (iteratable)

