id,title,image_reference,summary,author,recipe_category,preparation_time,cooking_time,total_time,difficulty,ingredients,recipe_instruction,number_of_servings,tags,slug
1,Quiche mediterráneo profundo,1,Un quiche de inspiración italiana con tomates secos y calabacín. Una comida ligera perfecta para un día de verano.,Umami,3,40,30,70,medium,"Para la masa:,280g harina normal,140g mantequilla,Agua fría,Para el relleno:,1 cebolla,2 dientes ajo,Medio calabación,450ml leche de soja,500g queso parmesano,2 huevos,200g tomate deshidratado,100g queso feta",mediterranean-quiche-umami.html,8,"22,13",recipes/quiche-mediterráneo-profundo
2,Bizcochos veganos de chocolate y nueces,2,Exquisitos brownies veganos de chocolate con nueces. Estas delicias contienen un toque de coco haciéndolos el placer perfecto. Servir calientes acompañados de un poco de helado de vainilla sin lactosa.,Umami,4,20,20,40,medium,"72g aceite de girasol, 80g de chocolate negro vegano, 170g de harina, 80g de harina de coco, 4g de levadura, 36g de cacao en polvo, 100g de azúcar en polvo, 45g de sirope de arce, 1g cucharadita de sal marina, 5g de extracto de vainilla, 230ml de leche de soja orgánica sin edulcorar, 100g de nueces pecanas, 80g de nueces",vegan-chocolate-nut-brownies.html,12,"3,7,27,9",recipes/bizcochos-veganos-de-chocolate-y-nueces
3,Pasta vegetariana al horno súper fácil,3,Una pasta al horno es la comida más fácil y saludable. Este delicioso plato es súper rápido de preparar y una comida ideal entre semana para toda la familia.,Umami,3,5,20,25,easy,"400g pasta de trigo integral, 1 cebolla, 2 dientes de ajo, 1 paquete de salchichas vegetarianas, 400g tomates picados, 50g rodajas de tomates secados al sol, 1 pizca de azúcar, 45g pesto rojo, 50g queso cheddar, Albahaca o hierbas mixtas, 100g queso mozzarella",veggie-pasta-bake-umami.html,4,"28,21,2",recipes/pasta-vegetariana-horno-super-facil
4,Sopa de berro,4,"Una sopa maravillosamente simple y ligera, que aprovecha al máximo los productos locales de temporada.",Umami,5,10,20,30,easy,"3 racimos de berros,3 patatas,3 cebollas,2 puerros,800ml de caldo,75g de crème fraîche",watercress-soup-umami.html,4,"25,28",recipes/sopa-de-berro
5,Pastel Victoria,5,"Un tradicional bizcocho Victoria, perfecto para cualquier tarde con una taza de té.",Umami,2,20,20,40,easy,"225g mantequilla o margarina,225g azúcar en polvo,225g harina autoniveladora,4 huevos,1 cucharadita polvo de hornear,3 cucharadas mermelada para el relleno,Azúcar glas para espolvorear la parte superior,Crema para servir",victoria-sponge-umami.html,10,5,recipes/pastel-victoria
6,Pizza sin gluten,6,"Una vistosa y simple pizza sin gluten, con deliciosa mozzarella y jamón de Parma. Puede convertirse fácilmente en vegetariana si quitamos el jamón.",Umami,3,15,15,30,,"400g de harina sin gluten, 125ml de agua caliente, 125ml de Leche, 1 de bolsita levadura, 12g de azúcar, 6g de Sal, 32g de aceite de oliva, 75g de tomate triturado, 1 diente de ajo, Albahaca fresca, 200g de mozzarella, 100g de rúcula, 5 lonchas de jamón de Parma",pizza-umami.html,4,,recipes/pizza-sin-gluten
7,Curry verde tailandés,7,Una versión rápida y fácil del clásico curry verde tailandés. ¡Perfecto para una comida entre semana!,Umami,3,10,15,25,,"400g de leche de coco, 400g de pollo o tofu, 15g de pasta de curry verde tailandés, 1 diente de ajo, 10g de salsa de pescado, 400g de champiñones, 200g de judías verdes, Hojas de cilantro fresco, Arroz jazmín",thai-green-curry-umami.html,4,,recipes/curry-verde-tailandes
8,Crema catalana,8,Disfruta de esta dulce receta de uno de los postres más antiguos de Europa. ¡Requiere muy pocos ingredientes!,Umami,2,10,20,30,,"1l de Leche, 200g de azúcar, 6 yemas de huevo, 30g de Maizena, 1 rama de canela, 1 La piel de un limón",crema-catalana-umami.html,8,"13,28",recipes/crema-catalana
9,Salsa de chile ardiente,9,Una rica y ardiente salsa de chile. Tenga cuidado al manejar chiles. ¡Y servir con moderación!,Umami,1,10,50,60,easy,"2 cebollas rojas, 1 limón, 2 limas, 250ml vinagre de malta, 7 dientes de ajo, 1 pimiento verde, 1 pimiento rojo, 800g tomates cherry, 30 chiles mezclados, Aceite de oliva, 1 cucharada pimienta negra molida, 1 cucharada azúcar morena",chili-sauce-umami.html,60,28,recipes/salsa-de-chile-ardiente
10,Borscht con costillas de cerdo,21,"Puedo hablar de borscht todo el día. Cada familia ucraniana tiene su receta: con frijoles, sin repollo, etc. Sin embargo, todas son válidas: no existe una receta 'correcta' unificada. La receta que está a punto de leer y cocinar es borscht con costillas de cerdo. Disfrútala. ¡Este plato le hará sentir una verdadera alma ucraniana!",Umami,1,30,60,90,medium,"400-500g de costillas de cerdo, 2 remolachas, 2 tomates, ¼ de raíz de apio, ¼ de repollo, 3-4 patatas medianas, 1 zanahoria, 1 cebolla, 1-2 peras ahumadas, 2 hojas de laurel, 3 guisantes de pimienta de Jamaica, 1 cabeza de ajo, 1 pimiento morrón, 200ml de jugo de tomate, 30g de mantequilla, 2 cucharadas de pasta de tomate, 3l de agua, Crema agria, 1 lata de alubias, Sal al gusto",borscht-with-pork-ribs-umami.html,8,25,recipes/borscht-con-costillas-de-cerdo
